Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Portugal,39.3999,-8.2245,1/22/20,0,0,0
,Andorra,42.5063,1.5218,1/22/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0
,Latvia,56.8796,24.6032,1/22/20,0,0,0
,Morocco,31.7917,-7.0926,1/22/20,0,0,0
,Saudi Arabia,24,45,1/22/20,0,0,0
,Senegal,14.4974,-14.4524,1/22/20,0,0,0
,Argentina,-38.4161,-63.6167,1/22/20,0,0,0
,Chile,-35.6751,-71.543,1/22/20,0,0,0
,Jordan,31.24,36.51,1/22/20,0,0,0
,Ukraine,48.3794,31.1656,1/22/20,0,0,0
,Hungary,47.1625,19.5033,1/22/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0
,Liechtenstein,47.14,9.55,1/22/20,0,0,0
,Poland,51.9194,19.1451,1/22/20,0,0,0
,Tunisia,34,9,1/22/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0
,Slovenia,46.1512,14.9955,1/22/20,0,0,0
,South Africa,-30.5595,22.9375,1/22/20,0,0,0
,Bhutan,27.5142,90.4336,1/22/20,0,0,0
,Cameroon,3.848,11.5021,1/22/20,0,0,0
,Colombia,4.5709,-74.2973,1/22/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/22/20,0,0,0
,Peru,-9.19,-75.0152,1/22/20,0,0,0
,Serbia,44.0165,21.0059,1/22/20,0,0,0
,Slovakia,48.669,19.699,1/22/20,0,0,0
,Togo,8.6195,0.8248,1/22/20,0,0,0
,French Guiana,3.9339,-53.1258,1/22/20,0,0,0
,Malta,35.9375,14.3754,1/22/20,0,0,0
,Martinique,14.6415,-61.0242,1/22/20,0,0,0
,Bulgaria,42.7339,25.4858,1/22/20,0,0,0
,Maldives,3.2028,73.2207,1/22/20,0,0,0
,Bangladesh,23.685,90.3563,1/22/20,0,0,0
,Paraguay,-23.4425,-58.4438,1/22/20,0,0,0
Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,0
Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,0
Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,0
,Albania,41.1533,20.1683,1/22/20,0,0,0
,Cyprus,35.1264,33.4299,1/22/20,0,0,0
,Brunei,4.5353,114.7277,1/22/20,0,0,0
Washington,US,47.4009,-121.4905,1/22/20,0,0,0
New York,US,42.1657,-74.9481,1/22/20,0,0,0
California,US,36.1162,-119.6816,1/22/20,0,0,0
Massachusetts,US,42.2302,-71.5301,1/22/20,0,0,0
Diamond Princess,US,35.4437,139.638,1/22/20,0,0,0
Grand Princess,US,37.6489,-122.6655,1/22/20,0,0,0
Georgia,US,33.0406,-83.6431,1/22/20,0,0,0
Colorado,US,39.0598,-105.3111,1/22/20,0,0,0
Florida,US,27.7663,-81.6868,1/22/20,0,0,0
New Jersey,US,40.2989,-74.521,1/22/20,0,0,0
Oregon,US,44.572,-122.0709,1/22/20,0,0,0
Texas,US,31.0545,-97.5635,1/22/20,0,0,0
Illinois,US,40.3495,-88.9861,1/22/20,0,0,0
Pennsylvania,US,40.5908,-77.2098,1/22/20,0,0,0
Iowa,US,42.0115,-93.2105,1/22/20,0,0,0
Maryland,US,39.0639,-76.8021,1/22/20,0,0,0
North Carolina,US,35.6301,-79.8064,1/22/20,0,0,0
South Carolina,US,33.8569,-80.945,1/22/20,0,0,0
Tennessee,US,35.7478,-86.6923,1/22/20,0,0,0
Virginia,US,37.7693,-78.17,1/22/20,0,0,0
Arizona,US,33.7298,-111.4312,1/22/20,0,0,0
Indiana,US,39.8494,-86.2583,1/22/20,0,0,0
Kentucky,US,37.6681,-84.6701,1/22/20,0,0,0
District of Columbia,US,38.8974,-77.0268,1/22/20,0,0,0
Nevada,US,38.3135,-117.0554,1/22/20,0,0,0
New Hampshire,US,43.4525,-71.5639,1/22/20,0,0,0
Minnesota,US,45.6945,-93.9002,1/22/20,0,0,0
Nebraska,US,41.1254,-98.2681,1/22/20,0,0,0
Ohio,US,40.3888,-82.7649,1/22/20,0,0,0
Rhode Island,US,41.6809,-71.5118,1/22/20,0,0,0
Wisconsin,US,44.2685,-89.6165,1/22/20,0,0,0
Connecticut,US,41.5978,-72.7554,1/22/20,0,0,0
Hawaii,US,21.0943,-157.4983,1/22/20,0,0,0
Oklahoma,US,35.5653,-96.9289,1/22/20,0,0,0
Utah,US,40.15,-111.8624,1/22/20,0,0,0
,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0
,Holy See,41.9029,12.4534,1/22/20,0,0,0
,Mongolia,46.8625,103.8467,1/22/20,0,0,0
,Panama,8.538,-80.7821,1/22/20,0,0,0
Kansas,US,38.5266,-96.7265,1/22/20,0,0,0
Louisiana,US,31.1695,-91.8678,1/22/20,0,0,0
Missouri,US,38.4561,-92.2884,1/22/20,0,0,0
Vermont,US,44.0459,-72.7107,1/22/20,0,0,0
Alaska,US,61.3707,-152.4044,1/22/20,0,0,0
Arkansas,US,34.9697,-92.3731,1/22/20,0,0,0
Delaware,US,39.3185,-75.5071,1/22/20,0,0,0
Idaho,US,44.2405,-114.4788,1/22/20,0,0,0
Maine,US,44.6939,-69.3819,1/22/20,0,0,0
Michigan,US,43.3266,-84.5361,1/22/20,0,0,0
Mississippi,US,32.7416,-89.6787,1/22/20,0,0,0
Montana,US,46.9219,-110.4544,1/22/20,0,0,0
New Mexico,US,34.8405,-106.2485,1/22/20,0,0,0
North Dakota,US,47.5289,-99.784,1/22/20,0,0,0
South Dakota,US,44.2998,-99.4388,1/22/20,0,0,0
West Virginia,US,38.4912,-80.9545,1/22/20,0,0,0
Wyoming,US,42.756,-107.3025,1/22/20,0,0,0
Hubei,China,30.9756,112.2707,1/22/20,444,17,28
,Iran,32,53,1/22/20,0,0,0
,"Korea, South",36,128,1/22/20,1,0,0
France,France,46.2276,2.2137,1/22/20,0,0,0
Guangdong,China,23.3417,113.4244,1/22/20,26,0,0
Henan,China,33.882,113.614,1/22/20,5,0,0
Zhejiang,China,29.1832,120.0934,1/22/20,10,0,0
Hunan,China,27.6104,111.7088,1/22/20,4,0,0
Anhui,China,31.8257,117.2264,1/22/20,1,0,0
Jiangxi,China,27.614,115.7221,1/22/20,2,0,0
Shandong,China,36.3427,118.1498,1/22/20,2,0,0
Diamond Princess,Cruise Ship,35.4437,139.638,1/22/20,0,0,0
Jiangsu,China,32.9711,119.455,1/22/20,1,0,0
Chongqing,China,30.0572,107.874,1/22/20,6,0,0
Sichuan,China,30.6171,102.7103,1/22/20,5,0,0
Heilongjiang,China,47.862,127.7615,1/22/20,0,0,0
Denmark,Denmark,56.2639,9.5018,1/22/20,0,0,0
Beijing,China,40.1824,116.4142,1/22/20,14,0,0
Shanghai,China,31.202,121.4491,1/22/20,9,0,0
Hebei,China,39.549,116.1306,1/22/20,1,0,0
Fujian,China,26.0789,117.9874,1/22/20,1,0,0
Guangxi,China,23.8298,108.7881,1/22/20,2,0,0
Shaanxi,China,35.1917,108.8701,1/22/20,0,0,0
Yunnan,China,24.974,101.487,1/22/20,1,0,0
Hainan,China,19.1959,109.7453,1/22/20,4,0,0
Guizhou,China,26.8154,106.8748,1/22/20,1,0,0
Tianjin,China,39.3054,117.323,1/22/20,4,0,0
Shanxi,China,37.5777,112.2922,1/22/20,1,0,0
Gansu,China,37.8099,101.0583,1/22/20,0,0,0
Hong Kong,China,22.3,114.2,1/22/20,0,0,0
Liaoning,China,41.2956,122.6085,1/22/20,2,0,0
Jilin,China,43.6661,126.1923,1/22/20,0,0,0
,Czechia,49.8175,15.473,1/22/20,0,0,0
Xinjiang,China,41.1129,85.2401,1/22/20,0,0,0
Inner Mongolia,China,44.0935,113.9448,1/22/20,0,0,0
Ningxia,China,37.2692,106.1655,1/22/20,1,0,0
,Taiwan*,23.7,121,1/22/20,1,0,0
,Vietnam,16,108,1/22/20,0,0,0
,Russia,60,90,1/22/20,0,0,0
Qinghai,China,35.7452,95.9956,1/22/20,0,0,0
Macau,China,22.1667,113.55,1/22/20,1,0,0
,Moldova,47.4116,28.3699,1/22/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,1/22/20,0,0,0
St Martin,France,18.0708,-63.0501,1/22/20,0,0,0
,Honduras,15.2,-86.2419,1/22/20,0,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,1/22/20,0,0,0
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,0
Tibet,China,31.6927,88.0924,1/22/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/22/20,0,0,0
,Cote d'Ivoire,7.54,-5.5471,1/22/20,0,0,0
Saint Barthelemy,France,17.9,-62.8333,1/22/20,0,0,0
,Jamaica,18.1096,-77.2975,1/22/20,0,0,0
,Reunion,-21.1151,55.5364,1/22/20,0,0,0
,Turkey,38.9637,35.2433,1/22/20,0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,1/22/20,0,0,0
,Cuba,22,-80,1/22/20,0,0,0
,Guyana,5,-58.75,1/22/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0
United Kingdom,United Kingdom,55.3781,-3.436,1/22/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/22/20,0,0,0
French Polynesia,France,-17.6797,149.4068,1/22/20,0,0,0
,Cayman Islands,19.3133,-81.2546,1/22/20,0,0,0
,Guadeloupe,16.265,-61.551,1/22/20,0,0,0
Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,0
,Ethiopia,9.145,40.4897,1/22/20,0,0,0
,Sudan,12.8628,30.2176,1/22/20,0,0,0
,Guinea,9.9456,-9.6966,1/22/20,0,0,0
,Aruba,12.5211,-69.9683,1/22/20,0,0,0
Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,0
,Kenya,-0.0236,37.9062,1/22/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0
Alabama,US,32.3182,-86.9023,1/22/20,0,0,0
,Thailand,15,101,1/23/20,3,0,0
,Japan,36,138,1/23/20,1,0,0
,Singapore,1.2833,103.8333,1/23/20,1,0,0
,Nepal,28.1667,84.25,1/23/20,0,0,0
,Malaysia,2.5,112.5,1/23/20,0,0,0
British Columbia,Canada,49.2827,-123.1207,1/23/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/23/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/23/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/23/20,0,0,0
,Cambodia,11.55,104.9167,1/23/20,0,0,0
,Sri Lanka,7,81,1/23/20,0,0,0
,Germany,51,9,1/23/20,0,0,0
,Finland,64,26,1/23/20,0,0,0
,United Arab Emirates,24,54,1/23/20,0,0,0
,Philippines,13,122,1/23/20,0,0,0
,India,21,78,1/23/20,0,0,0
,Italy,43,12,1/23/20,0,0,0
,Sweden,63,16,1/23/20,0,0,0
,Spain,40,-4,1/23/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/23/20,0,0,0
,Belgium,50.8333,4,1/23/20,0,0,0
,Egypt,26,30,1/23/20,0,0,0
From Diamond Princess,Australia,35.4437,139.638,1/23/20,0,0,0
,Lebanon,33.8547,35.8623,1/23/20,0,0,0
,Iraq,33,44,1/23/20,0,0,0
,Oman,21,57,1/23/20,0,0,0
,Afghanistan,33,65,1/23/20,0,0,0
,Bahrain,26.0275,50.55,1/23/20,0,0,0
,Kuwait,29.5,47.75,1/23/20,0,0,0
,Algeria,28.0339,1.6596,1/23/20,0,0,0
,Croatia,45.1,15.2,1/23/20,0,0,0
,Switzerland,46.8182,8.2275,1/23/20,0,0,0
,Austria,47.5162,14.5501,1/23/20,0,0,0
,Israel,31,35,1/23/20,0,0,0
,Pakistan,30.3753,69.3451,1/23/20,0,0,0
,Brazil,-14.235,-51.9253,1/23/20,0,0,0
,Georgia,42.3154,43.3569,1/23/20,0,0,0
,Greece,39.0742,21.8243,1/23/20,0,0,0
,North Macedonia,41.6086,21.7453,1/23/20,0,0,0
,Norway,60.472,8.4689,1/23/20,0,0,0
,Romania,45.9432,24.9668,1/23/20,0,0,0
,Estonia,58.5953,25.0136,1/23/20,0,0,0
,Netherlands,52.1326,5.2913,1/23/20,0,0,0
,San Marino,43.9424,12.4578,1/23/20,0,0,0
,Belarus,53.7098,27.9534,1/23/20,0,0,0
,Iceland,64.9631,-19.0208,1/23/20,0,0,0
,Lithuania,55.1694,23.8813,1/23/20,0,0,0
,Mexico,23.6345,-102.5528,1/23/20,0,0,0
,New Zealand,-40.9006,174.886,1/23/20,0,0,0
,Nigeria,9.082,8.6753,1/23/20,0,0,0
Western Australia,Australia,-31.9505,115.8605,1/23/20,0,0,0
,Ireland,53.1424,-7.6921,1/23/20,0,0,0
,Luxembourg,49.8153,6.1296,1/23/20,0,0,0
,Monaco,43.7333,7.4167,1/23/20,0,0,0
,Qatar,25.3548,51.1839,1/23/20,0,0,0
,Ecuador,-1.8312,-78.1834,1/23/20,0,0,0
,Azerbaijan,40.1431,47.5769,1/23/20,0,0,0
,Armenia,40.0691,45.0382,1/23/20,0,0,0
,Dominican Republic,18.7357,-70.1627,1/23/20,0,0,0
,Indonesia,-0.7893,113.9213,1/23/20,0,0,0
,Portugal,39.3999,-8.2245,1/23/20,0,0,0
,Andorra,42.5063,1.5218,1/23/20,0,0,0
Tasmania,Australia,-41.4545,145.9707,1/23/20,0,0,0
,Latvia,56.8796,24.6032,1/23/20,0,0,0
,Morocco,31.7917,-7.0926,1/23/20,0,0,0
,Saudi Arabia,24,45,1/23/20,0,0,0
,Senegal,14.4974,-14.4524,1/23/20,0,0,0
,Argentina,-38.4161,-63.6167,1/23/20,0,0,0
,Chile,-35.6751,-71.543,1/23/20,0,0,0
,Jordan,31.24,36.51,1/23/20,0,0,0
,Ukraine,48.3794,31.1656,1/23/20,0,0,0
,Hungary,47.1625,19.5033,1/23/20,0,0,0
Northern Territory,Australia,-12.4634,130.8456,1/23/20,0,0,0
,Liechtenstein,47.14,9.55,1/23/20,0,0,0
,Poland,51.9194,19.1451,1/23/20,0,0,0
,Tunisia,34,9,1/23/20,0,0,0
,Bosnia and Herzegovina,43.9159,17.6791,1/23/20,0,0,0
,Slovenia,46.1512,14.9955,1/23/20,0,0,0
,South Africa,-30.5595,22.9375,1/23/20,0,0,0
,Bhutan,27.5142,90.4336,1/23/20,0,0,0
,Cameroon,3.848,11.5021,1/23/20,0,0,0
,Colombia,4.5709,-74.2973,1/23/20,0,0,0
,Costa Rica,9.7489,-83.7534,1/23/20,0,0,0
,Peru,-9.19,-75.0152,1/23/20,0,0,0
,Serbia,44.0165,21.0059,1/23/20,0,0,0
,Slovakia,48.669,19.699,1/23/20,0,0,0
,Togo,8.6195,0.8248,1/23/20,0,0,0
,French Guiana,3.9339,-53.1258,1/23/20,0,0,0
,Malta,35.9375,14.3754,1/23/20,0,0,0
,Martinique,14.6415,-61.0242,1/23/20,0,0,0
,Bulgaria,42.7339,25.4858,1/23/20,0,0,0
,Maldives,3.2028,73.2207,1/23/20,0,0,0
,Bangladesh,23.685,90.3563,1/23/20,0,0,0
,Paraguay,-23.4425,-58.4438,1/23/20,0,0,0
Ontario,Canada,51.2538,-85.3232,1/23/20,0,0,0
Alberta,Canada,53.9333,-116.5765,1/23/20,0,0,0
Quebec,Canada,52.9399,-73.5491,1/23/20,0,0,0
,Albania,41.1533,20.1683,1/23/20,0,0,0
,Cyprus,35.1264,33.4299,1/23/20,0,0,0
,Brunei,4.5353,114.7277,1/23/20,0,0,0
Washington,US,47.4009,-121.4905,1/23/20,0,0,0
New York,US,42.1657,-74.9481,1/23/20,0,0,0
California,US,36.1162,-119.6816,1/23/20,0,0,0
Massachusetts,US,42.2302,-71.5301,1/23/20,0,0,0
Diamond Princess,US,35.4437,139.638,1/23/20,0,0,0
Grand Princess,US,37.6489,-122.6655,1/23/20,0,0,0
Georgia,US,33.0406,-83.6431,1/23/20,0,0,0
Colorado,US,39.0598,-105.3111,1/23/20,0,0,0
Florida,US,27.7663,-81.6868,1/23/20,0,0,0
New Jersey,US,40.2989,-74.521,1/23/20,0,0,0
Oregon,US,44.572,-122.0709,1/23/20,0,0,0
Texas,US,31.0545,-97.5635,1/23/20,0,0,0
Illinois,US,40.3495,-88.9861,1/23/20,0,0,0
Pennsylvania,US,40.5908,-77.2098,1/23/20,0,0,0
Iowa,US,42.0115,-93.2105,1/23/20,0,0,0
Maryland,US,39.0639,-76.8021,1/23/20,0,0,0
North Carolina,US,35.6301,-79.8064,1/23/20,0,0,0
South Carolina,US,33.8569,-80.945,1/23/20,0,0,0
Tennessee,US,35.7478,-86.6923,1/23/20,0,0,0
Virginia,US,37.7693,-78.17,1/23/20,0,0,0
Arizona,US,33.7298,-111.4312,1/23/20,0,0,0
Indiana,US,39.8494,-86.2583,1/23/20,0,0,0
Kentucky,US,37.6681,-84.6701,1/23/20,0,0,0
District of Columbia,US,38.8974,-77.0268,1/23/20,0,0,0
Nevada,US,38.3135,-117.0554,1/23/20,0,0,0
New Hampshire,US,43.4525,-71.5639,1/23/20,0,0,0
Minnesota,US,45.6945,-93.9002,1/23/20,0,0,0
Nebraska,US,41.1254,-98.2681,1/23/20,0,0,0
Ohio,US,40.3888,-82.7649,1/23/20,0,0,0
Rhode Island,US,41.6809,-71.5118,1/23/20,0,0,0
Wisconsin,US,44.2685,-89.6165,1/23/20,0,0,0
Connecticut,US,41.5978,-72.7554,1/23/20,0,0,0
Hawaii,US,21.0943,-157.4983,1/23/20,0,0,0
Oklahoma,US,35.5653,-96.9289,1/23/20,0,0,0
Utah,US,40.15,-111.8624,1/23/20,0,0,0
,Burkina Faso,12.2383,-1.5616,1/23/20,0,0,0
,Holy See,41.9029,12.4534,1/23/20,0,0,0
,Mongolia,46.8625,103.8467,1/23/20,0,0,0
,Panama,8.538,-80.7821,1/23/20,0,0,0
Kansas,US,38.5266,-96.7265,1/23/20,0,0,0
Louisiana,US,31.1695,-91.8678,1/23/20,0,0,0
Missouri,US,38.4561,-92.2884,1/23/20,0,0,0
Vermont,US,44.0459,-72.7107,1/23/20,0,0,0
Alaska,US,61.3707,-152.4044,1/23/20,0,0,0
Arkansas,US,34.9697,-92.3731,1/23/20,0,0,0
Delaware,US,39.3185,-75.5071,1/23/20,0,0,0
Idaho,US,44.2405,-114.4788,1/23/20,0,0,0
Maine,US,44.6939,-69.3819,1/23/20,0,0,0
Michigan,US,43.3266,-84.5361,1/23/20,0,0,0
Mississippi,US,32.7416,-89.6787,1/23/20,0,0,0
Montana,US,46.9219,-110.4544,1/23/20,0,0,0
New Mexico,US,34.8405,-106.2485,1/23/20,0,0,0
North Dakota,US,47.5289,-99.784,1/23/20,0,0,0
South Dakota,US,44.2998,-99.4388,1/23/20,0,0,0
West Virginia,US,38.4912,-80.9545,1/23/20,0,0,0
Wyoming,US,42.756,-107.3025,1/23/20,0,0,0
Hubei,China,30.9756,112.2707,1/23/20,444,17,28
,Iran,32,53,1/23/20,0,0,0
,"Korea, South",36,128,1/23/20,1,0,0
France,France,46.2276,2.2137,1/23/20,0,0,0
Guangdong,China,23.3417,113.4244,1/23/20,32,0,2
Henan,China,33.882,113.614,1/23/20,5,0,0
Zhejiang,China,29.1832,120.0934,1/23/20,27,0,0
Hunan,China,27.6104,111.7088,1/23/20,9,0,0
Anhui,China,31.8257,117.2264,1/23/20,9,0,0
Jiangxi,China,27.614,115.7221,1/23/20,7,0,0
Shandong,China,36.3427,118.1498,1/23/20,6,0,0
Diamond Princess,Cruise Ship,35.4437,139.638,1/23/20,0,0,0
Jiangsu,China,32.9711,119.455,1/23/20,5,0,0
Chongqing,China,30.0572,107.874,1/23/20,9,0,0
Sichuan,China,30.6171,102.7103,1/23/20,8,0,0
Heilongjiang,China,47.862,127.7615,1/23/20,2,0,0
Denmark,Denmark,56.2639,9.5018,1/23/20,0,0,0
Beijing,China,40.1824,116.4142,1/23/20,22,0,0
Shanghai,China,31.202,121.4491,1/23/20,16,0,0
Hebei,China,39.549,116.1306,1/23/20,1,1,0
Fujian,China,26.0789,117.9874,1/23/20,5,0,0
Guangxi,China,23.8298,108.7881,1/23/20,5,0,0
Shaanxi,China,35.1917,108.8701,1/23/20,3,0,0
Yunnan,China,24.974,101.487,1/23/20,2,0,0
Hainan,China,19.1959,109.7453,1/23/20,5,0,0
Guizhou,China,26.8154,106.8748,1/23/20,3,0,0
Tianjin,China,39.3054,117.323,1/23/20,4,0,0
Shanxi,China,37.5777,112.2922,1/23/20,1,0,0
Gansu,China,37.8099,101.0583,1/23/20,2,0,0
Hong Kong,China,22.3,114.2,1/23/20,2,0,0
Liaoning,China,41.2956,122.6085,1/23/20,3,0,0
Jilin,China,43.6661,126.1923,1/23/20,1,0,0
,Czechia,49.8175,15.473,1/23/20,0,0,0
Xinjiang,China,41.1129,85.2401,1/23/20,2,0,0
Inner Mongolia,China,44.0935,113.9448,1/23/20,0,0,0
Ningxia,China,37.2692,106.1655,1/23/20,1,0,0
,Taiwan*,23.7,121,1/23/20,1,0,0
,Vietnam,16,108,1/23/20,2,0,0
,Russia,60,90,1/23/20,0,0,0
Qinghai,China,35.7452,95.9956,1/23/20,0,0,0
Macau,China,22.1667,113.55,1/23/20,2,0,0
,Moldova,47.4116,28.3699,1/23/20,0,0,0
,Bolivia,-16.2902,-63.5887,1/23/20,0,0,0
Faroe Islands,Denmark,61.8926,-6.9118,1/23/20,0,0,0
St Martin,France,18.0708,-63.0501,1/23/20,0,0,0
,Honduras,15.2,-86.2419,1/23/20,0,0,0
Channel Islands,United Kingdom,49.3723,-2.3644,1/23/20,0,0,0
New Brunswick,Canada,46.5653,-66.4619,1/23/20,0,0,0
Tibet,China,31.6927,88.0924,1/23/20,0,0,0
,Congo (Kinshasa),-4.0383,21.7587,1/23/20,0,0,0
,Cote d'Ivoire,7.54,-5.5471,1/23/20,0,0,0
Saint Barthelemy,France,17.9,-62.8333,1/23/20,0,0,0
,Jamaica,18.1096,-77.2975,1/23/20,0,0,0
,Reunion,-21.1151,55.5364,1/23/20,0,0,0
,Turkey,38.9637,35.2433,1/23/20,0,0,0
Gibraltar,United Kingdom,36.1408,-5.3536,1/23/20,0,0,0
,Cuba,22,-80,1/23/20,0,0,0
,Guyana,5,-58.75,1/23/20,0,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,1/23/20,0,0,0
United Kingdom,United Kingdom,55.3781,-3.436,1/23/20,0,0,0
,Kazakhstan,48.0196,66.9237,1/23/20,0,0,0
French Polynesia,France,-17.6797,149.4068,1/23/20,0,0,0
,Cayman Islands,19.3133,-81.2546,1/23/20,0,0,0
,Guadeloupe,16.265,-61.551,1/23/20,0,0,0
Manitoba,Canada,53.7609,-98.8139,1/23/20,0,0,0
Saskatchewan,Canada,52.9399,-106.4509,1/23/20,0,0,0
,Ethiopia,9.145,40.4897,1/23/20,0,0,0
,Sudan,12.8628,30.2176,1/23/20,0,0,0
,Guinea,9.9456,-9.6966,1/23/20,0,0,0
,Aruba,12.5211,-69.9683,1/23/20,0,0,0
Grand Princess,Canada,37.6489,-122.6655,1/23/20,0,0,0
,Kenya,-0.0236,37.9062,1/23/20,0,0,0
,Antigua and Barbuda,17.0608,-61.7964,1/23/20,0,0,0
Alabama,US,32.3182,-86.9023,1/23/20,0,0,0
,Thailand,15,101,1/24/20,5,0,0
,Japan,36,138,1/24/20,2,0,0
,Singapore,1.2833,103.8333,1/24/20,3,0,0
,Nepal,28.1667,84.25,1/24/20,0,0,0
,Malaysia,2.5,112.5,1/24/20,0,0,0
British Columbia,Canada,49.2827,-123.1207,1/24/20,0,0,0
New South Wales,Australia,-33.8688,151.2093,1/24/20,0,0,0
Victoria,Australia,-37.8136,144.9631,1/24/20,0,0,0
Queensland,Australia,-28.0167,153.4,1/24/20,0,0,0
,Cambodia,11.55,104.9167,1/24/20,0,0,0
,Sri Lanka,7,81,1/24/20,0,0,0
,Germany,51,9,1/24/20,0,0,0
,Finland,64,26,1/24/20,0,0,0
,United Arab Emirates,24,54,1/24/20,0,0,0
,Philippines,13,122,1/24/20,0,0,0
,India,21,78,1/24/20,0,0,0
,Italy,43,12,1/24/20,0,0,0
,Sweden,63,16,1/24/20,0,0,0
,Spain,40,-4,1/24/20,0,0,0
South Australia,Australia,-34.9285,138.6007,1/24/20,0,0,0
